,StudySeq,Mean_Spectral_Centroid,Max_Spectral_Centroid,Min_Spectral_Centroid
0,StudySeq1,1725.0130423452604,5112.6840037626935,836.608534041118
1,StudySeq2,1810.4996046041306,5800.747951242424,492.95950978076377
2,StudySeq3,2114.46759374784,5423.586266411732,640.4585043825357
3,StudySeq4,1874.6523995638977,5662.228741779867,736.9266627550004
4,StudySeq5,1730.831084773959,5539.671359429556,615.5235366337108
5,StudySeq6,1630.8340025040225,4930.952700835351,742.0436963774509
6,StudySeq7,1877.702724639106,5576.053214071381,579.8408388351489
7,StudySeq8,1604.7355746840842,5069.891646986891,671.0453749655549
8,StudySeq9,1882.6993646130625,6052.7401804871115,832.782846335253
9,StudySeq10,1694.8556443873342,5858.759746691527,715.253798362776
10,StudySeq11,1719.2622878882648,5393.282232775329,691.7889190108685
11,StudySeq12,1866.3714034331983,5864.327238040409,716.4479602724432
12,StudySeq13,1681.921911282104,5705.066907736762,746.0695293439644
13,StudySeq14,1801.3424583420776,5146.884509431482,760.5517260274753
14,StudySeq15,1505.700245169597,5505.457947903406,714.5257327687398
15,StudySeq16,1705.437414306026,4789.402162621375,720.16149122241
16,StudySeq17,1921.0849225591548,5476.480523844711,735.4778255374451
17,StudySeq18,1559.9596365402235,5114.215189222819,698.3420894945475
18,StudySeq19,1688.7004024721089,5438.552197858013,764.7013632183987
19,StudySeq20,1825.205613962561,5480.653525301815,708.4416367762722
20,StudySeq21,1901.338768707931,5723.150678036175,708.0313815761886
21,StudySeq22,1835.5522554145184,5990.965305032374,695.9231085807314
22,StudySeq23,1871.8538879483137,5543.394793916193,730.0784383902962
23,StudySeq24,2144.5837827242876,6504.851940340329,680.5398503223059
24,StudySeq25,2001.9693385683295,6313.931215300949,576.0742504648393
25,StudySeq26,1508.6334385023645,4782.949346650758,749.2501015412231
26,StudySeq27,1638.1826448516942,5202.60671850868,711.2867491136234
27,StudySeq28,1780.3705468988132,6081.658579975165,716.0511225751552
28,StudySeq29,1911.6588483285577,6105.353385587407,681.2653934325054
29,StudySeq30,1832.3276776240064,6019.396335194135,643.133938020472
30,StudySeq31,1752.81151666722,5475.906342129186,667.3676206118421
31,StudySeq32,1799.9815648539711,5165.8096623908505,760.5492572510423
32,StudySeq33,1628.9705118736622,5336.885075450328,474.9417874154036
33,StudySeq34,1741.4432572961534,4418.043732154509,694.94183121535
34,StudySeq35,1462.523967992415,5263.065916687172,578.0982763027704
35,StudySeq36,1580.6945613473017,5321.10206939194,742.7220915770233
36,StudySeq37,1653.4328231030765,5975.076551944185,638.1538008713374
37,StudySeq38,1774.3604118035234,4702.761747539726,756.5823533497817
38,StudySeq39,1627.13260289982,4303.13428421997,675.13983997161
39,StudySeq40,1677.7480026077722,4904.228592108837,776.934640265441
